vg_image_id	vg_image_name	vg_object_id	vg_obj_name	bbox_xywh	vg_synset	vg_cat
3	3.jpg	1060282	desk	[131, 233, 506, 245]	furnishing.n.02	instrumentality, instrumentation
4	4.jpg	1060306	carpet	[2, 349, 622, 130]	furnishing.n.02	instrumentality, instrumentation
8	8.jpg	1060463	desk	[14, 388, 553, 212]	furnishing.n.02	instrumentality, instrumentation
10	10.jpg	1060591	desk	[0, 383, 471, 216]	furnishing.n.02	instrumentality, instrumentation
11	11.jpg	1060613	chair	[250, 173, 290, 427]	furnishing.n.02	instrumentality, instrumentation
12	12.jpg	1024216	desk	[0, 323, 799, 198]	furnishing.n.02	instrumentality, instrumentation
13	13.jpg	1060686	desk	[0, 185, 590, 413]	furnishing.n.02	instrumentality, instrumentation
14	14.jpg	1060700	desk	[0, 331, 799, 267]	furnishing.n.02	instrumentality, instrumentation
18	18.jpg	1060889	desk	[0, 331, 570, 267]	furnishing.n.02	instrumentality, instrumentation
19	19.jpg	1060961	desk	[0, 362, 798, 161]	furnishing.n.02	instrumentality, instrumentation
23	23.jpg	1024626	van	[26, 196, 562, 244]	truck.n.01	vehicle
27	27.jpg	1024754	carpet	[132, 423, 641, 176]	furnishing.n.02	instrumentality, instrumentation
28	28.jpg	1024781	couch	[0, 324, 511, 234]	furnishing.n.02	instrumentality, instrumentation
30	30.jpg	1061339	stand	[468, 115, 330, 482]	furnishing.n.02	instrumentality, instrumentation
32	32.jpg	1058643	cabinet	[0, 1, 754, 320]	furnishing.n.02	instrumentality, instrumentation
35	35.jpg	1024961	desk	[43, 2, 249, 434]	furnishing.n.02	instrumentality, instrumentation
37	37.jpg	1025073	sofa	[146, 209, 653, 294]	furnishing.n.02	instrumentality, instrumentation
40	40.jpg	1025176	chair	[0, 294, 213, 471]	furnishing.n.02	instrumentality, instrumentation
41	41.jpg	1061574	counter	[0, 381, 798, 219]	furnishing.n.02	instrumentality, instrumentation
43	43.jpg	1061695	counter	[0, 365, 799, 233]	furnishing.n.02	instrumentality, instrumentation
65	65.jpg	1533920	sedan	[143, 131, 503, 417]	car.n.01	vehicle
66	66.jpg	1533975	carpet	[0, 314, 626, 165]	furnishing.n.02	instrumentality, instrumentation
72	72.jpg	1062142	table	[0, 116, 432, 131]	furnishing.n.02	instrumentality, instrumentation
83	83.jpg	1062222	table	[0, 302, 799, 232]	furnishing.n.02	instrumentality, instrumentation
84	84.jpg	1534340	bed	[236, 385, 409, 272]	furnishing.n.02	instrumentality, instrumentation
92	92.jpg	1534493	bowl	[94, 136, 235, 175]	vessel.n.03	instrumentality, instrumentation
94	94.jpg	3786923	table	[0, 0, 444, 374]	furnishing.n.02	instrumentality, instrumentation
104	104.jpg	1062260	dirt	[52, 144, 657, 357]	car.n.01	vehicle
114	114.jpg	1025949	woman	[2, 43, 116, 213]	woman.n.01	person
115	115.jpg	1025967	couch	[0, 93, 256, 140]	furnishing.n.02	instrumentality, instrumentation
117	117.jpg	3786978	bed	[0, 343, 799, 255]	furnishing.n.02	instrumentality, instrumentation
118	118.jpg	1062370	sofa	[45, 189, 324, 358]	furnishing.n.02	instrumentality, instrumentation
122	122.jpg	1535166	counter	[7, 321, 791, 278]	furnishing.n.02	instrumentality, instrumentation
154	154.jpg	1535879	counter	[221, 162, 418, 317]	furnishing.n.02	instrumentality, instrumentation
155	155.jpg	1062434	man	[160, 0, 338, 480]	man.n.01	person
156	156.jpg	1535899	man	[295, 64, 176, 414]	man.n.01	person
158	158.jpg	1535966	flower	[156, 91, 251, 245]	flower.n.01	plant, flora, plant life
160	160.jpg	1058761	robe	[175, 99, 112, 140]	robe.n.01	article of clothing
172	172.jpg	1536265	cafe	[34, 116, 711, 390]	restaurant.n.01	structure, construction
174	174.jpg	1062458	bed	[9, 221, 579, 337]	furnishing.n.02	instrumentality, instrumentation
178	178.jpg	1536399	stool	[79, 251, 220, 222]	furnishing.n.02	instrumentality, instrumentation
184	184.jpg	1536601	sofa	[391, 189, 407, 266]	furnishing.n.02	instrumentality, instrumentation
198	198.jpg	1062598	house	[33, 46, 357, 201]	house.n.01	structure, construction
199	199.jpg	1062641	salad	[24, 107, 220, 264]	dish.n.02	food, nutrient
200	200.jpg	1621486	table	[0, 39, 500, 267]	furnishing.n.02	instrumentality, instrumentation
213	213.jpg	1062722	garage	[0, 0, 132, 243]	outbuilding.n.01	structure, construction
221	221.jpg	3787434	house	[85, 103, 311, 83]	house.n.01	structure, construction
228	228.jpg	1621638	sofa	[0, 210, 322, 222]	furnishing.n.02	instrumentality, instrumentation
231	231.jpg	1537577	house	[30, 149, 574, 234]	house.n.01	structure, construction
232	232.jpg	1537610	sofa	[163, 82, 127, 135]	furnishing.n.02	instrumentality, instrumentation
235	235.jpg	1062791	blouse	[35, 226, 268, 253]	overgarment.n.01	article of clothing
244	244.jpg	1026412	bed	[0, 227, 356, 260]	furnishing.n.02	instrumentality, instrumentation
258	258.jpg	1026573	desk	[30, 310, 662, 290]	furnishing.n.02	instrumentality, instrumentation
260	260.jpg	1026628	man	[45, 10, 590, 465]	man.n.01	person
263	263.jpg	3787616	house	[0, 65, 399, 114]	house.n.01	structure, construction
265	265.jpg	1538388	flower	[69, 0, 407, 411]	flower.n.01	plant, flora, plant life
273	273.jpg	3563116	hotel	[353, 0, 446, 446]	hotel.n.01	structure, construction
278	278.jpg	1062937	rug	[27, 407, 634, 191]	furnishing.n.02	instrumentality, instrumentation
291	291.jpg	1026826	house	[37, 38, 279, 233]	house.n.01	structure, construction
294	294.jpg	1058801	suv	[0, 172, 278, 427]	car.n.01	vehicle
308	308.jpg	1026902	bridge	[0, 285, 799, 314]	bridge.n.01	structure, construction
311	311.jpg	1621956	house	[478, 28, 321, 300]	house.n.01	structure, construction
314	314.jpg	1062978	house	[503, 16, 295, 414]	house.n.01	structure, construction
315	315.jpg	1621980	minivan	[110, 267, 652, 309]	car.n.01	vehicle
321	321.jpg	1027035	house	[372, 0, 427, 494]	house.n.01	structure, construction
335	335.jpg	1027106	desk	[9, 279, 791, 319]	furnishing.n.02	instrumentality, instrumentation
354	354.jpg	3342243	booth	[0, 78, 218, 519]	furnishing.n.02	instrumentality, instrumentation
360	360.jpg	1027189	desk	[34, 365, 480, 234]	furnishing.n.02	instrumentality, instrumentation
373	373.jpg	1635181	desk	[66, 341, 731, 237]	furnishing.n.02	instrumentality, instrumentation
375	375.jpg	1063232	table	[1, 154, 798, 444]	furnishing.n.02	instrumentality, instrumentation
377	377.jpg	1635225	desk	[288, 254, 462, 263]	furnishing.n.02	instrumentality, instrumentation
380	380.jpg	1622222	desk	[151, 305, 582, 235]	furnishing.n.02	instrumentality, instrumentation
381	381.jpg	1635241	desk	[0, 264, 799, 154]	furnishing.n.02	instrumentality, instrumentation
386	386.jpg	1622311	desk	[1, 378, 671, 219]	furnishing.n.02	instrumentality, instrumentation
390	390.jpg	3563772	desk	[183, 253, 615, 342]	furnishing.n.02	instrumentality, instrumentation
392	392.jpg	1027401	desk	[0, 261, 499, 111]	furnishing.n.02	instrumentality, instrumentation
413	413.jpg	1063276	nurse	[14, 58, 164, 198]	professional.n.01	person
415	415.jpg	3563906	table	[0, 186, 256, 69]	furnishing.n.02	instrumentality, instrumentation
416	416.jpg	1635310	lady	[16, 4, 88, 224]	woman.n.01	person
417	417.jpg	2858291	table	[45, 147, 191, 106]	furnishing.n.02	instrumentality, instrumentation
418	418.jpg	1063325	man	[1, 10, 157, 246]	man.n.01	person
