vg_object_id	vg_image_id	vg_obj_name	vg_domain	topname	responses	domain	N	total_responses	perc_top	H	list	familiarity	vg_synset	link_mn	mn_bbox_xywh
143313	2415243	dog	animals_plants	['狗']	{'狗': 19}	animals_plants	1	19	1.0	0.0	list6	4.0722	dog.n.01	http://manynames.upf.edu/2415243_143313_dog.png	[53, 11, 407, 246]
149494	2414912	woman	people	['女人']	{'女人': 16, '笑脸': 1, '游客': 1, '女性': 1, '女孩': 1, '女士': 2}	people	6	22	0.7272727272727273	1.459431618637297	list1	3.9359318181818175	woman.n.01	http://manynames.upf.edu/2414912_149494_woman.png	[239, 150, 259, 347]
149712	2414899	bagel	food	['面包']	{'食物': 3, '面包': 16, '贝果': 1, '包': 1, '面包圈': 2}	food	5	23	0.6956521739130435	1.44726249944121	list3	3.179682608695652	baked_goods.n.01	http://manynames.upf.edu/2414899_149712_bagel.png	[44, 70, 280, 306]
155993	2414566	truck	vehicles	['车']	{'皮卡车': 1, '车': 8, '皮卡': 2, '卡车': 4, '运输卡车': 1, '汽车': 2, '车斗': 2, '后备箱': 1, '车子': 1}	vehicles	9	22	0.36363636363636365	2.7321588913645702	list1	3.150211363636364	truck.n.01	http://manynames.upf.edu/2414566_155993_truck.png	[2, 129, 361, 242]
158916	2414151	bed	home	['床']	{'床': 20, '猫': 2, '布': 1}	home	3	23	0.8695652173913043	0.6784070909375673	list3	3.762908695652174	furnishing.n.02	http://manynames.upf.edu/2414151_158916_bed.png	[0, 86, 500, 289]
160185	2414086	lady	people	['女人']	{'人': 7, '女人': 8, '女孩': 4, '女性': 2, '女士': 1, '美女': 1}	people	6	23	0.34782608695652173	2.1908887189090462	list3	4.372891304347826	woman.n.01	http://manynames.upf.edu/2414086_160185_woman.png	[164, 0, 278, 304]
161243	2414026	girl	people	['运动员', '女人']	{'人': 3, '女生': 1, '运动员': 5, '女人': 5, '网球': 1, '球员': 2, '网球运动员': 1, '女性': 2, '女孩': 1, '玩家': 1, '女网选手': 1}	people	11	23	0.21739130434782608	3.1333807190554004	list3	3.6279554347826086	woman.n.01	http://manynames.upf.edu/2414026_161243_woman.png	[17, 75, 190, 233]
162117	2413985	couch	home	['沙发']	{'沙发': 21}	home	1	21	1.0	0.0	list1	2.9581	furnishing.n.02	http://manynames.upf.edu/2413985_162117_couch.png	[130, 216, 255, 152]
166206	2413787	sheep	animals_plants	['羊']	{'羊': 17, '山羊': 2, '绵羊': 1, '牛': 1, '马': 1}	animals_plants	5	22	0.7727272727272727	1.2100285140347624	list1	2.8356636363636367	ungulate.n.01	http://manynames.upf.edu/2413787_166206_sheep.png	[1, 175, 286, 306]
167364	2413733	house	buildings	['房子']	{'房': 2, '房子': 17, '建筑物': 1, '屋子': 1, '树': 1, '房屋': 1}	buildings	6	23	0.7391304347826086	1.4154372473067618	list3	3.6804391304347823	house.n.01	http://manynames.upf.edu/2413733_167364_house.png	[7, 19, 259, 193]
