word	concreteness	familiarity	imageability	age_of_acquisition	freq_en	log_freq_en	context_div_en	freq_mn
jeep	4.8	4.877	6.45	2.0	10.27	2.7202	239.0	209
snowsuit	5.0	NA	NA	NA	0.12	0.8451	5.0	1
horse cart	NA	NA	NA	NA	NA	NA	NA	1
sand	5.0	NA	NA	2.0	20.29	3.0154	618.0	44
curry	4.84	6.25	6.529	12.0	2.43	2.0969	71.0	3
street sign	4.75	NA	NA	NA	NA	NA	NA	4
basket	5.0	6.0	6.235	2.0	13.18	2.828	428.0	17
packet	4.46	6.097	5.909	6.0	2.51	2.1106	96.0	1
fruit stand	NA	NA	NA	NA	NA	NA	NA	7
bananas	NA	NA	NA	NA	5.45	2.4456	176.0	8
teenagers	NA	NA	NA	NA	4.22	2.3345	178.0	1
train track	NA	NA	NA	NA	NA	NA	NA	15
pole	4.66	5.758	6.143	2.0	12.59	2.8082	394.0	39
serving dish	4.33	NA	NA	NA	NA	NA	NA	2
truss	NA	NA	NA	13.0	0.33	1.2553	13.0	1
bedframe	NA	NA	NA	NA	NA	NA	NA	54
cardboard	4.9	NA	NA	2.0	2.71	2.143	115.0	1
camper	4.63	4.765	6.0	4.0	1.43	1.8692	48.0	3
funnel cake	NA	NA	NA	NA	NA	NA	NA	1
branch	4.9	NA	NA	2.0	10.08	2.7118	374.0	1
bmw	NA	NA	NA	NA	NA	NA	NA	1
peaches	NA	NA	NA	NA	4.08	2.3201	116.0	1
tree	5.0	6.5	6.69	2.0	65.0	3.5206	1622.0	52
damsel	3.88	3.853	5.765	10.0	0.88	1.6628	31.0	1
golden retriever	5.0	NA	NA	NA	NA	NA	NA	1
tart	3.27	NA	NA	6.0	2.39	2.0899	93.0	2
daughter	4.79	6.364	5.879	2.0	171.35	3.9415	2993.0	1
jacket	4.86	6.412	6.829	2.0	33.41	3.2317	971.0	13935
smoker	4.59	5.581	6.118	4.0	2.27	2.0682	83.0	12
license plate	4.89	NA	NA	NA	NA	NA	NA	1
door	4.81	6.743	6.686	2.0	292.06	4.1731	5286.0	142
glasses	4.9	6.455	6.5	2.0	33.12	3.2279	1008.0	14
attic	4.53	4.889	5.967	NA	7.84	2.6031	237.0	1
cub board	NA	NA	NA	NA	NA	NA	NA	4
desert	4.86	5.581	6.219	4.0	27.98	3.1547	730.0	8
ground	4.77	6.387	6.355	2.0	72.47	3.5678	2265.0	46
midget	4.4	3.849	6.061	2.0	4.61	2.3729	153.0	1
sleeping mask	NA	NA	NA	NA	NA	NA	NA	2
pole dancer	NA	NA	NA	NA	NA	NA	NA	2
wooden	4.61	NA	NA	2.0	7.2	2.5658	276.0	29
dessert	4.93	6.147	6.571	2.0	14.02	2.8549	532.0	242
semi truck	NA	NA	NA	NA	NA	NA	NA	50
gymnast	4.85	5.6	6.529	6.0	0.59	1.4914	22.0	3
bet sheet	NA	NA	NA	NA	NA	NA	NA	2
picnic table	NA	NA	NA	NA	NA	NA	NA	49
red carpet	4.97	NA	NA	8.0	NA	NA	NA	1
hairdresser	4.79	NA	NA	4.0	2.47	2.1038	84.0	4
flat-bed truck	NA	NA	NA	NA	NA	NA	NA	2
bagel dog	NA	NA	NA	NA	NA	NA	NA	2
commuter train	NA	NA	NA	NA	NA	NA	NA	3
girlfriend	4.25	NA	NA	NA	76.1	3.5891	1946.0	8
road sign	4.86	NA	NA	NA	NA	NA	NA	2
plastic cup	NA	NA	NA	NA	NA	NA	NA	2
church tower	NA	NA	NA	NA	NA	NA	NA	1
duchess	4.46	NA	NA	6.0	NA	NA	NA	1
building	4.64	6.29	6.727	2.0	99.57	3.7058	2411.0	4481
patio furniture	NA	NA	NA	NA	NA	NA	NA	2
rug	4.79	NA	NA	2.0	10.41	2.7259	354.0	3621
lambs	NA	NA	NA	NA	1.67	1.9345	63.0	2
foil	4.48	4.879	6.061	6.0	1.22	1.7993	53.0	1
hair	4.97	6.808	6.567	2.0	153.55	3.8939	3632.0	22
hotdog	5.0	NA	NA	NA	0.39	1.3222	15.0	3092
general	1.62	6.125	2.743	2.0	NA	NA	NA	2
stork	4.72	NA	NA	2.0	NA	NA	NA	24
children	4.89	6.346	6.067	2.0	175.1	3.9509	3276.0	74
cow	4.96	6.375	6.882	2.0	25.51	3.1146	728.0	11198
croissant	4.96	NA	NA	14.0	0.88	1.6628	38.0	75
stack	4.3	4.107	4.969	2.0	6.1	2.4942	269.0	1
dog out	NA	NA	NA	NA	NA	NA	NA	2
horse and rider	NA	NA	NA	NA	NA	NA	NA	2
structure	4.03	NA	NA	4.0	10.18	2.716	387.0	14
employee	4.1	6.206	5.571	4.0	11.57	2.7716	429.0	2
pot of vegetables	NA	NA	NA	NA	NA	NA	NA	2
fence	4.82	5.107	6.621	2.0	16.06	2.9138	552.0	122
bicyclist	4.61	NA	NA	NA	NA	NA	NA	27
