word,concreteness,imageability,familiarity,age_of_acquisition,freq_zh,log_freq_zh,freq_mn
麦皮,NA,NA,NA,NA,NA,NA,1
甜圈,NA,NA,NA,NA,NA,NA,1
滑板手,NA,NA,NA,NA,NA,NA,1
选美小姐,NA,NA,NA,NA,NA,NA,1
铜板,NA,NA,NA,NA,11,15682,1
路标,NA,NA,NA,NA,155,1716,5
夫妇的下臂,NA,NA,NA,NA,NA,NA,1
马屁,NA,NA,NA,NA,NA,NA,1
帆板,NA,NA,NA,NA,83,14472,2
妙龄少女,NA,NA,NA,NA,NA,NA,1
玩家,NA,NA,NA,NA,NA,NA,9
料理台,NA,NA,NA,NA,3,0,2
嘟嘟车,NA,NA,NA,NA,NA,NA,1
大桥,NA,NA,NA,NA,429,21584,6
冲浪爱好者,NA,NA,NA,NA,NA,NA,1
谬,NA,NA,NA,NA,188,17993,1
池塘,1.416667,5.846 ,5.409 ,3.333 ,42,21492,1
堡,NA,NA,NA,NA,951,25038,1
卷心菜,NA,NA,NA,NA,227,18808,11
露营,1.884615,NA,NA,NA,879,24698,1
面包西红柿,NA,NA,NA,NA,NA,NA,1
熊椅,NA,NA,NA,NA,NA,NA,1
汽水,1.333333,NA,NA,NA,742,23962,2
一碗水果,NA,NA,NA,NA,NA,NA,1
汉堡面包,NA,NA,NA,NA,NA,NA,5
窗子,NA,NA,NA,NA,56,22742,2
鹰,NA,NA,NA,NA,113,25786,24
西餐,1.708333,4.733 ,6.364 ,2.938 ,21,8451,4
喷头,NA,NA,NA,NA,63,13222,1
印度牛,NA,NA,NA,NA,NA,NA,1
棒球服,NA,NA,NA,NA,NA,NA,13
幼鸟,NA,NA,NA,NA,NA,NA,1
面具式背包,NA,NA,NA,NA,NA,NA,1
后车尾,NA,NA,NA,NA,NA,NA,1
头,NA,NA,NA,NA,34525,40638,20
屁股,1.24,3.571 ,5.591 ,2.429 ,11339,35802,1
棉衣,NA,5.429 ,5.545 ,2.000 ,6,301,2
