word	concreteness	familiarity	imageability	age_of_acquisition	freq_zh	log_freq_zh	context_div_zh	freq_mn
彩棚	NA	NA	NA	NA	9.0	4771.0	2.0	1
宝塔	NA	NA	NA	NA	27.0	9542.0	6.0	1
别墅	5.25	6.148148	5.6	11.416666666666666	1016.0	25328.0	238.0	18
红袍	NA	NA	NA	NA	NA	NA	NA	3
话	NA	NA	NA	NA	118939.0	4601.0	6048.0	3
走道	NA	NA	NA	NA	197.0	18195.0	55.0	1
牡丹	5.5	6.12	6.05	7.571428571428571	57.0	12788.0	15.0	1
蘑菇披萨	NA	NA	NA	NA	NA	NA	NA	1
啄木鸟	NA	NA	NA	NA	86.0	14624.0	18.0	3
包面	NA	NA	NA	NA	NA	NA	NA	1
辈子	NA	4.875	NA	13.285714285714286	3052.0	30103.0	837.0	1
杂物	4.75	5.836735	4.95	9.75	191.0	18062.0	57.0	2
音乐家	NA	NA	NA	NA	635.0	23284.0	162.0	1
景点	5.4	6.123125	4.2	10.0952381	92.0	14914.0	30.0	1
夫妇	5.55	6.153846	4.7	9.368421052631579	265.0	29489.0	529.0	1
冰激凌车	NA	NA	NA	NA	NA	NA	NA	1
动物	5.45	6.785714	5.55	6.294117647058823	7858.0	34209.0	1239.0	67
笔记本电脑和办公桌	NA	NA	NA	NA	NA	NA	NA	1
酒馆	5.1	NA	5.3	NA	668.0	23502.0	132.0	1
汽艇	5.6	NA	5.1	NA	6.0	1301.0	7.0	1
鹈鹕	NA	NA	NA	NA	57.0	12788.0	12.0	1
贝果	NA	NA	NA	NA	NA	NA	NA	12
置物架	NA	NA	NA	NA	NA	NA	NA	1
背	NA	NA	NA	NA	603.0	3306.0	1356.0	1
牛肉	6.3	6.333333	5.85	7.5	1604.0	27308.0	342.0	3
公车	5.5	5.647059	5.8	9.1875	1332.0	26503.0	255.0	9
种	NA	NA	NA	NA	3.0	0.0	1.0	1
卡车	5.9	6.321429	5.2	9.84210526	46.0	31884.0	759.0	221
蕃茄酱	NA	NA	NA	NA	NA	NA	NA	2
便利店	NA	NA	NA	NA	NA	NA	NA	1
厨具	5.55	6.214286	5.7	NA	63.0	13222.0	15.0	2
帐	NA	NA	NA	NA	6036.0	33064.0	1141.0	3
旅馆	5.4	6.259259	5.15	11.1875	5133.0	3236.0	842.0	1
厂	NA	NA	NA	NA	3.0	0.0	1.0	1
狗和沙发	NA	NA	NA	NA	NA	NA	NA	1
仙人球	NA	NA	NA	NA	18.0	7782.0	4.0	1
羊毛	5.95	6.06383	5.65	9.31578947368421	221.0	18692.0	53.0	1
裤子	5.9	6.750714	5.25	5.631578947368421	5577.0	32721.0	1050.0	18
货物	6.0	5.36	5.05	10.4375	706.0	23747.0	176.0	1
面包西红柿	NA	NA	NA	NA	NA	NA	NA	1
夫妻	5.7	6.735294	5.4	12.277777777777779	1884.0	28007.0	447.0	6
住宅	5.0	6.153846	5.15	9.5	489.0	22148.0	146.0	1
男性	5.7	6.434783	5.5	8.058823529411764	2695.0	29562.0	618.0	22
河	NA	NA	NA	NA	3383.0	3055.0	565.0	7
女人	5.9	6.733333	5.5	8.666666666666666	4289.0	4158.0	4137.0	860
酒店	5.65	6.633333	5.45	11.35	6144.0	33141.0	892.0	8
